dream_id,dream_keyword,dream_interpretation
1,กางเขน,ฝันเห็นเครื่องหมายกางเขนศาสนาคริสต์ หรือไม้กางเขนที่ปักบนหลุมฝังศพ ทายว่า จะได้ลาภหรือได้เลื่อนตำแหน่งหน้าที่การงาน การซื้อขายจะดีขึ้น
3,กฑา,ฝันเห็นกฑา หรือธนู หรือหน้าไม้ ทายว่า จะมีลาภ หรือได้รับข่าวเกี่ยวกับญาติมิตรทางไกล
4,กวาง,ฝันเห็นกวาง หรือเขากวาง หรือจับมันลูกกวาง ทายว่า จะได้เลื่อนยศหรือตำแหน่งหน้าที่การงาน แต่มีอันให้ต้องเปลี่ยนแปลงหรือโยกย้ายที่อยู่ไปด้วยกับลาภ
5,โกศ,ฝันเห็นโกศศพในงานพิธีต่าง ๆ หรือโกศใส่กระดูก ทายว่า จะได้ลาภข้าวของเงินทองจากญาติผู้ใหญ่ หรืออาจจะได้เงินทองจากมรดกญาติมีพี่น้อง
6,โกนผม,ฝันว่าโกนผมหรือโกนหนวด ทายว่า จะได้รับเคราะห์เกี่ยวกับทรัพย์สินหรือเจ็บป่วย
7,เกือก,ฝันเห็นเกือกหรือรองเท้า ได้สวม หรือได้รับรองเท้าของเพศตรงข้าม ทายว่า คนผู้นั้นถ้าเป็นโสดจะได้พบเนื้อคู่ที่สูงอายุ ถ้ามีครอบครัวแล้วจะได้บุตร
8,โกมุท,ฝันเห็นดอกบัวตูมหรือโกมุท ได้ถือดอกบัวสีแดง ทายว่า จะหมดเคราะห์หมดทุกข์ ถ้าป่วยจะหาย ถ้าปกติจะได้ลาภเป็นข้าวของเงินทอง
9,กาสาวพัสตร์,ฝันเห็นผ้าไตรจีวร แต่ไม่เห็นองค์พระ ทายว่า ถ้ามีครอบครัวแล้วจะได้บุตรชาย หรือได้ลาภเป็นของมีค่า เป็นสตรี 4 เท่า บุรุษ 2 เท่า
10,กระดุม,ฝันเห็นลูกกระดุม หรือเครื่องเย็บสอย ทายว่า ถ้าเป็นสตรีสาวโสดจะได้พบเนื้อคู่ บุรุษจะได้ลาภในหน้าที่การงาน หรือถ้ามีครอบครัวแล้วจะได้บุตรหญิงน่ารัก
11,กรวดทราย,ฝันเห็นกรวดทราย หรือได้จับก้อนกรวดก้อนทราย จะได้รับทุกข์เกี่ยวกับการยื่นมือเข้าไปช่วยเหลือผู้อื่น หรือจะได้รับความเดือดร้อนเพราะคนภายในเรือนหรือครอบครัว ลาภลอย หรือโชคลาภจากการเสี่ยงโชค จะมีเหตุผิดพลาด
