dream_id,dream_keyword,left
71,งูกัด,ฝันว่างูกัด ทายว่า ศัตรูเพศตรงข้ามจะคิดร้าย หรือถูกติฉินหากเพื่อนบ้าน ถ้าถูกกัดต่ำ ก็ยิ่งแสดงให้เห็น
134,ซอ,ฝันว่าเล่นซอหรือไวโอลิน หรือเครื่องดนตรีประเภทสี ทายว่าจะมีคนคิดร้ายหรือฉ้อโกงทรัพย์สิน ระวังคนแปลกห
3,กฑา (ธนู),ฝันเห็นกฑา หรือธนู หรือหน้าไม้ ทายว่า จะมีลาภ หรือได้รับข่าวเกี่ยวกับญาติมิตรทางไกล
4,กวาง,ฝันเห็นกวาง หรือเขากวาง หรือจับมันลูกกวาง ทายว่า จะได้เลื่อนยศหรือตำแหน่งหน้าที่การงาน แต่มีอันให้ต้
6,โกนผม,ฝันว่าโกนผมหรือโกนหนวด ทายว่า จะได้รับเคราะห์เกี่ยวกับทรัพย์สินหรือเจ็บป่วย
8,โกมุท (ดอกบัว),ฝันเห็นดอกบัวตูมหรือโกมุท ได้ถือดอกบัวสีแดง ทายว่า จะหมดเคราะห์หมดทุกข์ ถ้าป่วยจะหาย ถ้าปกติจะได้ลาภ
12,กงเต็ก,ฝันเห็นพิธีกงเต็กในงานศพ หรือได้เห็นเครื่องกงเต็ก ทายว่า จะหมดเคราะห์หมดทุกข์ ถ้าป่วยก็จะหายในเร็ววั
11,กรวดทราย,ฝันเห็นกรวดทราย หรือได้จับก้อนกรวดก้อนทราย จะได้รับทุกข์เกี่ยวกับการยื่นมือเข้าไปช่วยเหลือผู้อื่น หร
5,โกศ,ฝันเห็นโกศศพในงานพิธีต่าง ๆ หรือโกศใส่กระดูก ทายว่า จะได้ลาภข้าวของเงินทองจากญาติผู้ใหญ่ หรืออาจจะได
10,กระดุม,ฝันเห็นลูกกระดุม หรือเครื่องเย็บสอย ทายว่า ถ้าเป็นสตรีสาวโสดจะได้พบเนื้อคู่ บุรุษจะได้ลาภในหน้าที่กา
