3,กฑา (ธนู),ฝันเห็นกฑา หรือธนู หรือหน้าไม้ ทายว่า จะมีลาภ หรือได้รับข่าวเกี่ยวกับญ
8,โกมุท (ดอกบัว),ฝันเห็นดอกบัวตูมหรือโกมุท ได้ถือดอกบัวสีแดง ทายว่า จะหมดเคราะห์หมดทุกข
7,เกือก (รองเท้า),ฝันเห็นเกือกหรือรองเท้า ได้สวม หรือได้รับรองเท้าของเพศตรงข้าม ทายว่า ค
17,กริช, กัณหยั่น,ฝันเห็นกริช (มีดสองคม) หรือกัณหยั่น (มีดสองคมของจีนที่เขียนเป็นหน้าสิง
20,โกนุท (ดอกบัว),ฝันเห็นดอกบัวตูมหรือโกนุท ได้เก็บดอกบัวสีแดง ทายว่า จะหมดเคราะห์หมอดทุ
167,ตกบ่อ,ฝันว่าตนเองตกลงไปในบ่อหรือในหลุมโคลนที่มีหนอนไส้เดือนอยู่ เป็นที่สกปรก
30,ตกจากที่สูง,ฝันว่าถูกลมหอบไป หรือฝันว่าตกลงมาจากที่สูง ทายว่า จะได้รับความผิดหวังห
63,คานพาด,ฝันว่า คานเป็นผู้หญิงจะหมายถึงฐานะของเราทายว่า จะได้รับเลื่อนตำแหน่งหน
64,มาตกรรม,ฝันเห็นการฆาตกรรม หรือเห็นคนวิวาททำร้ายกันถึงตาย หรือตนเองถูกฆ่าแต่กลั
116,ช้อนชาม,ฝันเห็นช้อนหรือชามจาน ถ้าเป็นคนมีครอบครัวแล้ว ทายว่า จะได้บุตรหรือสัตว
83,จอมเสียม,ฝันเห็นจอบหรือเสียม หรือเครื่องมือทางเกษตร ถ้าได้จับต้องจะได้รับผลสำเร
89,จันทร์จรดฟ้า,(ดู ครราส' อักษร จ.)
645,กษัตริย์,ฝันเห็น องค์เจ้าแผ่นดินหรือพระราชินี ท่านจะได้เลื่อนตำปแหน่งยศทางการ ห
100,จับเจ่า,ฝันว่าตนเองนั่งจับเสียงคนเดียวในที่เสี่ยงภัย หรือนั่งอยู่แต่ลำพังคนเดี
102,จำปา-จำปี,ฝันว่าได้ดอกจำปี หรือดอกจำปา ทายว่าเป็นความฝันดี ผู้ฝันจะได้รับความสุข
536,วัวควาย,ฝันว่าทะเลาะวิวาท กับคนแปลกหน้า ทำนายว่า จะได้รับข่าวทางไกลจากญาติมิตร
122,ชลธาร,ฝันเห็นทะเลสาบ ร่องน้ำ หรือลำคลอง หรือน้ำตก ทายว่า จะได้ความสุข หรือมี
130,แซ่ (แส้),ฝันว่าถูกตีด้วยแซ่ เจ็บปวดและมีโลหิตไหลออกจากกายเรา ทายว่า จะได้รับทุก
135,เซิ้ง,ฝันเห็นการเต้นรำทำเพลงอย่างสนุกสนาน ถ้าเป็นหญิง ทายว่า จะได้ลาภเล็ก ๆ 
142,หญิงแต่งชุดสีต่าง ๆ,ฝันเห็นหญิงแต่งชุดดำ ทายว่าจะมีศัตรูคิดปองร้าย ฝันเห็นหญิงแต่งชุดขาว ท
161,ดึก,ฝันว่าเวลาล่วงเที่ยงคืน หรือยามตีสี่ตีห้า ทายว่า ของที่หายไปจะได้กลับค
168,เห็นตัวเราฝันตาย,ทายว่า จะได้รับการมัวหมองจากหน้าที่การงาน หรือได้รับการนินทาไปในทางเสื
